"Story","Title","Result","Date","Stability","Duration (s)"
"Get gif details for search text","User finds gifs using search text with valid apikey","SUCCESS","2021-08-26T12:53:27.2032804+02:00[Europe/Amsterdam]","0.0","3.09"
"Get gif details for search text","User finds gifs using search text with invalid apikey","SUCCESS","2021-08-26T12:53:30.3006468+02:00[Europe/Amsterdam]","0.0","1.32"
